City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,Saldanha,-33.0117,17.9442,53.65,86,3,11.12,ZA,1684189538
292,Muisne,0.6,-80.0333,80.94,82,92,10.45,EC,1684189538
293,Salekhard,66.53,66.6019,26.51,84,16,11.3,RU,1684189538
294,Coahuayana de Hidalgo,18.7,-103.6583,90.12,42,0,7.47,MX,1684189538
295,Nemuro,43.3236,145.575,43.41,96,100,6.69,JP,1684189539
296,Bada,51.392,109.8717,31.62,43,5,3.4,RU,1684189259
297,Hasaki,35.7333,140.8333,67.21,78,6,18.39,JP,1684189329
298,Igarka,67.4667,86.5833,26.08,96,98,9.84,RU,1684189539
299,Beloyarskiy,63.7119,66.6722,35.56,71,17,13.13,RU,1684189468
300,San Andrés,12.5847,-81.7006,86.02,74,75,11.5,CO,1684189540
301,Venice of the Philippines,4.6628,119.3928,83.1,78,6,5.66,PH,1684189540
302,Mosfellsbaer,64.1667,-21.7,37.42,65,0,5.75,IS,1684189540
303,Yilan,24.757,121.753,77.02,72,97,2.15,TW,1684189540
304,Greymouth,-42.4667,171.2,48.58,77,45,4.63,NZ,1684189540
305,Rye,40.9807,-73.6837,77.43,33,0,8.01,US,1684189541
306,Djamaa,33.5339,5.9931,71.33,33,46,7.52,DZ,1684189541
307,Mchinji,-13.7984,32.8802,60.58,71,22,4.12,MW,1684189541
308,Weno,7.4515,151.8468,84.15,89,100,3.44,FM,1684189541
309,Tauranga,-37.6861,176.1667,57.85,86,6,1.99,NZ,1684189542
310,Lyman,48.9884,37.8023,57.02,67,94,5.48,UA,1684189542
311,Guibéroua,6.2392,-6.1727,73.53,99,100,1.57,CI,1684189542
312,At Tāj,24.2049,23.2857,84.18,12,60,8.77,LY,1684189542
313,Taytay,14.5678,121.1394,84.13,85,75,4.61,PH,1684189542
314,Manismata,-2.4667,111.0333,71.98,93,60,2.68,ID,1684189543
315,Kouroussa,10.65,-9.8833,73.76,87,100,2.39,GN,1684189543
316,Thal,35.4791,72.2439,49.24,70,30,6.53,PK,1684189543
317,Kilinochchi,9.3961,80.3982,81.61,86,100,13.73,LK,1684189544
318,Virac,13.6333,124.2167,74.26,84,33,3.58,PH,1684189544
319,Ambovombe,-25.1667,46.0833,68.4,87,18,7.05,MG,1684189544
320,Kununurra,-15.7667,128.7333,64.38,88,58,1.14,AU,1684189544
321,Queenstown,-31.8976,26.8753,44.06,86,1,3.09,ZA,1684189544
322,Mubende,0.5606,31.39,61.88,95,67,1.95,UG,1684189545
323,Dévaványa,47.0333,20.9667,56.98,99,100,3.2,HU,1684189545
324,Malāyer,34.2969,48.8235,46.56,60,0,2.19,IR,1684189545
325,Elliot Lake,46.3834,-82.6331,66.0,36,79,13.76,CA,1684189545
326,Casper,42.8666,-106.3131,68.59,49,40,5.75,US,1684189546
327,Berezovyy,51.6667,135.7,51.06,51,35,10.04,RU,1684189546
328,Tindouf,27.6711,-8.1474,82.85,12,0,8.05,DZ,1684189546
329,Fuglafjørður,62.244,-6.814,45.07,82,76,24.63,FO,1684189546
330,Ghat,24.9647,10.1728,73.69,15,0,12.68,LY,1684189547
331,Kemnath,49.8689,11.895,51.4,85,41,2.66,DE,1684189547
332,Katsuura,35.1333,140.3,62.71,72,1,10.92,JP,1684189547
333,Morinville,53.8001,-113.652,83.98,26,0,17.27,CA,1684189520
334,Flekkefjord,58.2971,6.6607,49.95,86,100,5.86,NO,1684189547
335,Berdigestyakh,62.0989,126.6992,41.11,95,100,6.4,RU,1684189548
336,Abomsa,9.9833,39.9833,71.53,64,87,6.69,ET,1684189548
337,Sisimiut,66.9395,-53.6735,35.69,69,100,6.55,GL,1684189548
338,Lázaro Cárdenas,17.9583,-102.2,86.7,53,0,10.54,MX,1684189510
339,Hinesville,31.8469,-81.5959,80.78,61,75,12.66,US,1684189548
340,Mossamedes,-15.1961,12.1522,70.7,74,78,7.31,AO,1684189357
341,Timimoun,29.2639,0.231,70.18,14,0,4.61,DZ,1684189549
342,Vuktyl,63.8567,57.3094,39.6,96,100,4.34,RU,1684189549
343,New Norfolk,-42.7826,147.0587,48.7,64,55,1.01,AU,1684189407
344,Luorong,24.4058,109.6086,72.91,94,91,4.18,CN,1684189549
345,Mpongwe,-13.5091,28.155,62.17,64,70,5.26,ZM,1684189550
346,Fallon,39.4735,-118.7774,82.92,24,6,3.42,US,1684189550
347,Uray,60.1247,64.7758,43.59,66,33,8.37,RU,1684189550
348,Ambon City,-3.6954,128.1814,82.54,14,40,9.22,ID,1684189550
349,Magadan,59.5667,150.8,43.54,55,96,12.46,RU,1684189550
350,Cienfuegos,22.1461,-80.4356,84.34,61,78,5.75,CU,1684189551
351,Ejigbo,7.9,4.3167,73.92,96,72,5.93,NG,1684189551
